,neighborhood_municipality,indv_tested,cases,cases_per_100_indv
82,Glen Hazel,317,95,29.96845425867510
38,Central Oakland,1379,244,17.693981145757800
8,Baldwin Borough,4118,646,15.687226809130600
216,Whitehall,2533,396,15.633636004737500
173,South Oakland,580,90,15.517241379310300
91,Haysville,13,2,15.384615384615400
131,New Homestead,155,23,14.838709677419400
126,Mount Oliver Borough,494,68,13.765182186234800
39,Chalfant,147,20,13.60544217687080
90,Hays,45,6,13.333333333333300
84,Glenfield,30,4,13.333333333333300
48,Crafton Heights,545,69,12.660550458715600
213,Westwood,482,60,12.448132780083000
10,Banksville,688,83,12.063953488372100
178,Southside Slopes,690,83,12.028985507246400
204,Versailles,234,28,11.965811965812000
214,Whitaker,168,20,11.904761904761900
68,Esplen,26,3,11.538461538461500
100,Ingram,449,51,11.358574610245000
187,Stowe,880,99,11.25